清华园站	北京海淀区知春路大运村北航西门对面	北京铁路局	 	客运站	北京	海淀区	116.339398	39.982418	116.333229	39.981082	116.3458250718	39.9885747023
昌平北站	北京市昌平区昌平北站	北京铁路局	 	客运站	北京	昌平区	116.233135	40.231278	116.227054	40.230033	116.2395661228	40.2375463753
昌平站	北京市昌平区马池口下念头村	北京铁路局	 	客运站	北京	昌平区	116.193638	40.190089	116.187485	40.188802	116.2000658764	40.1963895282
南口站	北京市昌平区南口镇交通街84号	北京铁路局	 	客运站	北京	昌平区	116.129665	40.239261	116.123338	40.237858	116.1360792297	40.2455927956
官高	北京市昌平区南邵镇官高村	北京铁路局	 	乘降所	北京	昌平区	116.30933	40.237749	116.303196	40.236446	116.3157621364	40.2439388134
北京东站	北京市朝阳区百子湾路27号	北京铁路局	 	客运站	北京	朝阳区	116.484666	39.902777	116.478602	39.90151	116.4911764799	39.9088086762
黄村站	北京市大兴区黄村镇林校路	北京铁路局	 	客运站	北京	大兴区	116.332264	39.721495	116.326143	39.72019	116.3386746453	39.7276536602
北京站	北京市东城区毛家湾胡同甲13号	北京铁路局	 	客运站	北京	东城区	116.427258	39.903708	116.421034	39.902318	116.4337332123	39.9097913507
云居寺	北京市房山区大石窝乡云居寺火车站	北京铁路局	 	乘降所	北京	房山区	115.800427	39.621584	115.794296	39.620454	115.8068278949	39.6278682625
孤山口	北京市房山区韩村河镇下中院村	北京铁路局	 	乘降所	北京	房山区	115.860834	39.637364	115.854867	39.636337	115.8672233837	39.6436820669
平峪	北京市房山区平峪镇平峪火车站	北京铁路局	 	乘降所	北京	房山区	115.552253	39.666478	115.546157	39.66544	115.5587344505	39.67254179
南观村	北京市房山区青龙湖镇南观村火车站	北京铁路局	 	乘降所	北京	房山区	116.002952	39.773374	115.996829	39.772164	116.0092990975	39.779699339
上万	北京市房山区青龙湖镇上万站	北京铁路局	 	乘降所	北京	房山区	116.042595	39.823433	116.036343	39.822108	116.0489501054	39.8297589162
十渡站	北京市房山区十渡镇十渡村	北京铁路局	 	客运站	北京	房山区	115.589382	39.647197	115.583354	39.646206	115.5958373714	39.6532903811
燕山站	北京市房山区燕山中路7号	北京铁路局	 	客运站	北京	房山区	115.95867	39.750025	115.95269	39.748942	115.9650243446	39.7563514957
三合庄	北京市房山区张坊镇三合庄火车站	北京铁路局	 	乘降所	北京	房山区	115.71283	39.63589	115.706637	39.634739	115.7192305241	39.6420895561
良各庄	北京市房山区周口店镇良各庄火车站	北京铁路局	 	乘降所	北京	房山区	115.937506	39.719189	115.931573	39.718152	115.943866305	39.7255162504
北京南站	北京市丰台区车站路12号	北京铁路局	 	客运站	北京	丰台区	116.379054	39.864896	116.372828	39.863505	116.3854935522	39.871015585
大灰厂	北京市丰台区大灰厂村大灰厂火车站	北京铁路局	 	乘降所	北京	丰台区	116.134049	39.859677	116.127779	39.858307	116.1404440185	39.865999406
北京西站	北京市丰台区莲花池东路118号	北京铁路局	 	客运站	北京	丰台区	116.321148	39.894755	116.315031	39.893457	116.3275638943	39.9009269287
清河站	北京市海淀区清河火车站	北京铁路局	 	客运站	北京	海淀区	116.315062	40.041651	116.308941	40.040358	116.3214857531	40.0478316985
怀柔站	北京市怀柔区府前东街1号	北京铁路局	 	客运站	北京	怀柔区	116.648861	40.3171	116.642946	40.315968	116.6554165701	40.3229375519
怀柔北站	北京市怀柔区怀柔北站	北京铁路局	 	客运站	北京	怀柔区	116.692719	40.408809	116.68667	40.407568	116.6992889485	40.414605427
庙城	北京市怀柔区庙城镇庙城火车站	北京铁路局	 	乘降所	北京	怀柔区	116.631421	40.301154	116.625548	40.300053	116.6379737578	40.3070120106
北宅	北京市怀柔区桥梓镇北宅村	北京铁路局	 	乘降所	北京	怀柔区	116.570563	40.343377	116.564709	40.342272	116.5771147523	40.3493135749
斜河涧	北京市门头沟区妙峰山斜河涧火车站	北京铁路局	 	乘降所	北京	门头沟区	116.064616	39.977927	116.0583	39.976553	116.0709870055	39.9842576552
三家店站	北京市门头沟区三家店火车站	北京铁路局	 	客运站	北京	门头沟区	116.120502	39.95018	116.114195	39.948791	116.1268964253	39.9565072333
安家庄	北京市门头沟区王平镇安家庄火车站	北京铁路局	 	乘降所	北京	门头沟区	115.953994	39.997699	115.947994	39.996612	115.9603612703	40.0040302945
落坡岭	北京市门头沟区王平镇落坡岭火车站	北京铁路局	 	乘降所	北京	门头沟区	115.986624	39.987619	115.98053	39.986446	115.9929832118	39.9939483769
雁翅	北京市门头沟区雁翅镇雁翅火车站	北京铁路局	 	乘降所	北京	门头沟区	115.89764	40.035088	115.891685	40.03406	115.9040336096	40.0414208416
珠窝	北京市门头沟区雁翅镇珠窝火车站	北京铁路局	 	乘降所	北京	门头沟区	115.802701	40.057462	115.796521	40.056298	115.8091216834	40.0637556064
沿河城	北京市门头沟区斋堂镇沿河城火车站	北京铁路局	 	乘降所	北京	门头沟区	115.726685	40.102621	115.720419	40.101418	115.7331071725	40.1088438955
密云站	北京市密云县车站路1号	北京铁路局	 	客运站	北京	密云县	116.853469	40.395473	116.847451	40.394317	116.860105497	40.4011751612
统军庄	北京市密云县十里堡镇统军庄村	北京铁路局	 	乘降所	北京	密云县	116.753969	40.343077	116.747829	40.3418	116.76056988	40.3488319631
张辛	北京市顺义区李桥镇张辛火车站	北京铁路局	 	乘降所	北京	顺义区	116.68627	40.01221	116.680288	40.011048	116.6928192417	40.0180063714
高各庄	北京市顺义区牛栏山镇高各庄火车站	北京铁路局	 	乘降所	北京	怀柔区	116.624818	40.258928	116.618962	40.257844	116.631368184	40.2647934429
顺义站	北京市顺义区站前北街17号	北京铁路局	 	客运站	北京	顺义区	116.645463	40.125875	116.63958	40.12478	116.6520090584	40.1317131686
通州西站	北京市通州区五里店西路11号	北京铁路局	 	客运站	北京	通州区	116.627183	39.904424	116.621367	39.903368	116.6337144619	39.9102804292
北京北站	北京市西城区北滨河路1号	北京铁路局	 	客运站	北京	西城区	116.35422	39.942268	116.348024	39.940907	116.360650565	39.9484102961
八达岭站	北京市延庆县八达岭镇	北京铁路局	 	客运站	北京	延庆县	115.996282	40.358891	115.990108	40.357638	116.002656496	40.3652263655
